1;a;1,2,3,7,9,14,23
2;b;4
3;c;17,30
4;d;6
5;e;7,8,9,14,36
6;f;10
7;g;11
8;h;12
9;i;8,9,14,15,36,39
10;j;16,39
11;k;17
12;l;18
13;m;19
14;n;20,21
15;o;3,9,22,23
16;p;28
17;q;17
18;r;29
19;s;30,42
20;t;31,32
21;u;9,26,35,40,41
22;v;37
23;w;38
24;x;42
25;y;39
26;z;42
